Date,Point72,AGTGlobalGrowth,AURIGIN,AVM,Fasanara,FENGHE,GBAF,KOVA,Abans,Peregrine,QIO,RV Capital Asia Opportunity Enhanced Return,RV Capital Credit Opportunities Fund,Pimco Income Fund,ARGA,Allianz Income and Growth,Fidelity Global Technology
2025-06-30 00:00:00,0.011075,0.0939,0.021,0.0167,0.0055,0.0091,0.0185,0.007,0.0063,0.015,0.0096,0.023,0.0008,0.020331728,0.06167057,0.03245935,0.072102318
2025-05-31 00:00:00,0.0088,0.086,0.019,0.0147,0.0085,0.0159,0.024,0.018,0.0062,0.0075,0.0122,0.021,0.0016,-0.000534759,0.060759756,0.039563577,0.081805604
30/4/25 0:00,0.0226,0.0313,0.0051,0.0356,0.007,-0.003,-0.0007,-0.043,0.0069,-0.0617,0.022,0.0266,0.0097,0.0,0.0028,0.0005,0.0038
31/3/25 0:00,-0.0099,0.0515,0.0251,-0.0169,0.001,0.0054,-0.0021,0.017,0.0062,0.011,0.0058,0.0402,0.0104,0.0027,0.0306,-0.0365,-0.0582
28/2/25 0:00,-0.0058,-0.0099,-0.0072,0.0134,0.007,0.0107,0.0029,0.028,0.0068,0.004,0.0082,0.026,0.0197,0.0186,0.0042,-0.02,-0.0225
31/1/25 0:00,0.0204,0.045,-0.0194,0.0259,0.015,0.0292,0.0152,0.036,0.007,0.009,0.0004,0.0254,0.0007,0.0186,0.0042,-0.0255,-0.0225
29/12/24 0:00,0.0257,0.078,-0.005,0.0107,0.017,-0.0203,-0.0059,0.009,0.0058,0.021,0.0105,-0.006,-0.009,-0.0071,-0.0014,-0.0115,-0.009
30/11/24 0:00,0.0181,0.033,0.004,0.0289,0.027,-0.0108,0.0066,0.026,0.0065,0.01,0.0099,0.025,-0.006,0.0156,-0.0419,0.0305,0.0258
31/10/24 0:00,0.0205,-0.0212,-0.01,0.0292,0.011,-0.0031,-0.006,-0.008,0.0065,0.036,0.0124,-0.06,0.005,-0.0164,-0.0559,-0.0026,-0.0127
30/9/24 0:00,0.0049,0.1525,0.0175,0.0165,0.005,0.0147,0.0142,0.008,0.0064,0.055,0.0197,0.026,0.032,0.0139,0.1119,0.015,0.0218
31/8/24 0:00,0.0149,-0.049,0.0131,0.0044,0.0,0.0063,0.0103,-0.019,0.006,0.006,0.0084,0.0311,0.01,0.0073,0.0326,0.013,0.0069
31/7/24 0:00,-0.0006,0.135,0.0174,0.0121,0.008,0.0012,0.0101,0.0202,0.0068,0.004,0.0185,0.0361,0.012,0.0217,-0.0156,0.0006,0.0095
30/6/24 0:00,0.0133,0.0105,0.0204,-0.0012,0.007,0.05,0.0183,0.0063,0.0078,-0.01,0.0217,0.015,0.014,0.0029,0.0181,0.0239,0.0569
31/5/24 0:00,0.0101,0.0445,0.0026,0.0077,0.013,0.0207,0.0283,0.0221,0.0068,0.011,0.0067,0.019,0.009,0.0169,0.0072,0.009,0.0274
30/4/24 0:00,0.0054,0.0075,0.0405,0.0105,0.007,-0.0257,-0.0212,0.0092,0.0065,-0.013,0.0043,-0.0294,-0.001,-0.0155,0.0148,-0.0197,-0.032
31/3/24 0:00,0.0243,0.0425,-0.0016,0.0129,0.071,0.0284,0.0171,0.0078,0.0068,0.034,0.0159,0.001,0.005,0.0134,0.0198,0.0181,0.0286
29/2/24 0:00,0.0078,0.0505,0.0246,-0.0042,0.037,0.0232,0.0217,0.0123,0.0073,0.0259,0.0172,0.028,0.007,-0.0041,0.0442,0.017,0.0371
31/1/24 0:00,0.017,-0.0145,0.04,-0.0077,0.017,0.0135,0.0025,0.0158,0.0068,-0.0249,0.0174,0.019,0.01,0.0058,-0.0539,0.0032,-0.0016
29/12/23 0:00,0.0066,0.099,0.0355,0.0247,0.042,0.0225,0.0289,0.0016,0.0056,0.0115,0.0194,0.053,0.007,0.0288,0.0465,0.044,0.0723
30/11/23 0:00,0.0116,0.092,0.0434,0.0148,0.02,0.0594,0.0469,0.0115,0.0068,0.0259,0.0192,0.052,0.027,0.0399,0.0514,0.0665,0.14
31/10/23 0:00,0.0097,-0.156,-0.0256,0.0022,0.017,-0.0068,-0.0114,0.0174,0.0084,0.0251,0.0084,0.021,0.002,-0.0111,-0.0304,-0.0289,-0.0433
29/9/23 0:00,0.0052,-0.041,0.0106,0.0047,0.003,-0.0288,-0.0201,0.0158,0.0072,0.0123,0.014,-0.006,0.012,-0.0146,-0.0295,-0.0289,-0.0373
31/8/23 0:00,0.0073,-0.007,-0.0044,0.0068,0.019,-0.0114,-0.0183,0.0068,0.0067,0.0155,0.015,-0.03,-0.009,-0.0024,-0.0656,-0.0106,-0.029
31/7/23 0:00,-0.0054,0.05,0.0378,0.0061,0.015,-0.0063,0.0195,0.0061,0.0065,0.0323,0.0061,0.008,-0.004,0.011,0.067,0.0248,0.0433
30/6/23 0:00,0.0065,0.087,0.0415,-0.0125,0.006,-0.0165,0.0161,-0.0125,0.0073,0.0139,0.0104,0.014,0.01,0.0118,0.0679,0.0383,0.0538
31/5/23 0:00,0.0062,0.013,-0.0031,0.0076,0.01,0.0229,-0.0052,0.0076,0.0061,0.0203,0.0028,-0.029,-0.015,-0.0049,-0.0244,0.0126,0.0344
28/4/23 0:00,0.0146,0.018,0.0211,0.0053,0.028,0.00221,0.0017,0.0053,0.0064,0.0163,0.0064,-0.022,0.012,0.0037,0.004,0.0038,-0.0267
31/3/23 0:00,0.0134,0.064,0.00877,0.0047,0.013,0.01079,0.0186,0.0047,0.0069,0.0267,0.0069,-0.096,0.002,0.0132,0.0329,0.0117,0.0615
28/2/23 0:00,0.00221,-0.042,-0.0131167,0.0075,0.009,-0.03314,-0.0197,0.0075,0.0068,0.0179,0.0068,-0.029,0.015,-0.0233,-0.0488,-0.0145,-0.0178
31/1/23 0:00,0.01186,0.084,0.02413751,0.0038,-0.001,0.07439,0.0563,0.0038,0.007,0.0155,0.007,0.07,0.057,0.0329,0.0978,0.047,0.141
30/12/22 0:00,0.02322,-0.001,0.00088667,0.0073,0.01,-0.00099,-0.0183,0.0073,0.0065,0.0523,0.0058,0.072,0.043,0.0,0.0235,-0.0188,-0.0378
30/11/22 0:00,0.00097,0.147,0.04948392,0.0001,0.007,0.04045,0.0562,0.0001,0.0067,0.0691,0.0065,0.064,0.085,0.0368,0.1815,0.0092,0.0519
31/10/22 0:00,-0.00449,-0.05,-0.0059167,0.0151,0.005,0.01896,0.0318,0.0151,0.0067,0.0163,0.0067,0.033,-0.018,0.0073,-0.0389,0.0346,0.0342
30/9/22 0:00,0.01075,-0.054,-0.0329167,0.0037,0.003,-0.02997,-0.0581,0.0037,0.0055,0.0467,0.0067,-0.015,0.004,-0.0375,-0.0985,-0.0648,-0.0994
31/8/22 0:00,0.01958,0.037,0.02184236,0.0065,0.005,-0.00502,-0.0142,0.0065,0.006,0.1155,0.0055,-0.015,0.021,-0.0095,0.0043,-0.0098,-0.0291
29/7/22 0:00,0.0,0.0,-0.0105,0.0003,-0.001,-0.00452,0.0172,0.0003,0.0066,0.0203,0.006,0.003,-0.018,0.0332,-0.0065,0.0696,0.0899
30/6/22 0:00,0.0233,-0.031,-0.0267,-0.0109,-0.008,-0.00027,-0.0394,-0.0109,0.0061,0.0371,0.0065,0.008,-0.031,-0.0358,-0.0311,-0.0746,-0.0901
31/5/22 0:00,-0.00952,-0.044,-0.0166,0.0216,0.002,0.00706,0.0053,0.0216,0.0058,0.0931,0.0061,-0.022,-0.007,0.007,0.0288,-0.0286,-0.0105
29/4/22 0:00,0.0236,0.051,-0.000877,0.004,0.003,0.00054,-0.0332,0.004,0.007,-0.1407,0.0058,0.036,0.027,-0.03,-0.0501,-0.0597,-0.0966
31/3/22 0:00,0.0151,0.09,0.0272,0.0056,-0.006,-0.02362,-0.00747,0.0056,0.007,0.0843,0.007,0.016,0.018,-0.0091,-0.0188,0.0219,0.0301
28/2/22 0:00,-0.00329,0.071,-0.0505167,-0.0035,-0.015,-0.00344,-0.01716,-0.0035,0.0063,0.0195,0.007,0.012,0.004,-0.026,-0.0182,-0.0115,-0.0316
31/1/22 0:00,-0.01356,-0.08,0.00588,-0.0267,-0.001,-0.05138,0.01955,-0.0267,0.006,-0.0957,0.0063,0.003,-0.001,-0.0105,0.0264,-0.0732,-0.0552
31/12/21 0:00,0.01702,0.026,0.029,0.0084,0.023,-0.01483,0.01467,0.0084,0.0062,0.0787,0.006,0.025,0.009,0.0119,0.033,0.0063,0.0404
30/11/21 0:00,-0.00247,0.044,-0.0306,0.016,0.035,0.03711,0.02415,0.016,0.0064,-0.0117,0.0062,0.029,0.013,-0.0082,-0.0484,0.0,-0.0192
29/10/21 0:00,0.00052,0.042,0.0179,0.0299,0.015,-0.00186,-0.00567,0.0299,0.0067,0.0531,0.0064,-0.029,-0.013,-0.0029,0.0096,0.0306,0.0333
30/9/21 0:00,0.02982,0.015,0.00936873,0.0102,0.022,-0.00255,0.01635,0.0102,0.0066,0.0659,0.0067,-0.012,-0.006,-0.0018,-0.0311,-0.0157,-0.0377
31/8/21 0:00,0.01629,0.083,0.00588,0.0126,0.001,0.0172,0.01176,0.0126,0.0064,0.0643,0.0066,0.046,0.017,0.0035,0.0414,0.0118,0.028
30/7/21 0:00,0.00765,0.043,0.0185,0.0031,0.005,0.01242,0.01488,0.0031,0.0068,-0.0707,0.0064,-0.011,-0.005,0.0035,-0.0272,0.0061,0.0005
30/6/21 0:00,-0.00432,0.048,0.0197,0.01,0.031,0.02368,0.01631,0.01,0.0069,0.0259,0.0068,-0.005,-0.002,0.0036,0.0094,0.0269,0.0228
31/5/21 0:00,-0.0029,0.091,0.0506,0.0153,0.071,-0.01367,0.02193,0.0153,0.0082,-0.0097,0.0069,-0.004,-0.001,0.006,0.053,-0.0067,0.0023
30/4/21 0:00,0.01916,0.151,0.00946852,0.0044,0.029,0.06171,0.00984,0.0044,0.0065,-0.0077,0.0082,-0.009,-0.006,0.0108,0.026,0.0377,0.0354
31/3/21 0:00,0.00959,0.149,-0.0140167,0.0101,0.093,0.03176,0.01825,0.0101,0.0065,0.0419,0.0065,0.003,0.001,0.0,0.0462,-0.0103,0.0277
26/2/21 0:00,0.08122,0.019,0.0767,0.0238,0.065,0.0337,0.01597,0.0238,0.0064,0.0339,0.0065,-0.009,-0.003,-0.0042,0.048,0.0126,0.0441
29/1/21 0:00,-0.09731,0.156,0.00598,0.0097,0.029,0.05719,0.01904,0.0097,0.0082,0.0619,0.0064,0.009,0.003,0.0036,-0.0285,0.0127,0.0295
31/12/20 0:00,0.03132,0.077,0.0843103,0.009,0.027,0.02893,0.04553,0.009,0.0071,0.1019,0.008,0.043,0.018,0.0165,0.1061,0.0346,0.071
30/11/20 0:00,0.00892,0.072,0.07512971,0.0178,0.005,0.06446,-0.01211,0.0178,0.008,0.0499,0.0071,0.034,0.013,0.0302,0.156,0.0891,0.156
30/10/20 0:00,0.01386,0.018,0.01685291,-0.0083,0.009,-0.01761,0.00313,-0.0083,0.0068,0.0371,0.008,0.005,0.002,0.00379,0.0256,-0.0137,-0.0255
30/9/20 0:00,0.00702,0.0023,-0.0138167,0.0111,0.037,-0.01341,0.03161,0.0111,0.0072,0.0795,0.0063,-0.029,-0.013,-0.0025,-0.0222,-0.0168,-0.0317
31/8/20 0:00,0.01986,0.092,0.05946283,0.0068,0.018,0.06272,0.02545,0.0068,0.0067,-0.0077,0.0072,0.003,0.003,0.0115,0.0026,0.0515,0.0712
31/7/20 0:00,0.03156,0.164,0.05966241,0.0024,0.007,0.04046,0.02218,0.0024,0.0079,0.0739,0.0072,0.071,0.03,0.0195,0.0579,0.0599,0.0562
30/6/20 0:00,0.00708,0.195,0.04319722,-0.0279,0.01,0.06822,0.01965,-0.0279,0.0076,0.0411,0.0067,0.035,0.017,0.0172,0.0602,0.0213,0.0741
29/5/20 0:00,0.01174,0.118,0.04599131,0.0126,0.015,0.02879,0.03607,0.0126,0.0078,-0.0147,0.0079,0.053,0.025,0.0251,-0.0153,0.056,0.0485
30/4/20 0:00,0.02263,0.159,0.03541367,0.0314,0.024,0.01424,-0.03651,0.0314,0.0072,0.1387,0.0083,0.07,0.024,0.0314,0.0945,0.0872,0.1245
31/3/20 0:00,-0.02422,-0.078,-0.1079167,0.0298,0.018,-0.07799,-0.0117,0.0298,0.0077,0.3683,0.0067,-0.124,-0.055,-0.0815,-0.1798,-0.104,-0.0818
28/2/20 0:00,0.00747,0.072,-0.0053167,0.0133,0.009,-0.02211,0.00811,0.0133,0.0086,-0.1847,0.0077,0.049,0.022,-0.007,-0.0772,-0.0582,-0.0736
31/1/20 0:00,0.00598,0.016,0.00896958,0.0063,0.008,0.00433,0.01477,0.0063,0.0068,-0.0367,0.0086,-0.003,0.0,0.0045,-0.0636,0.0118,0.0117
31/12/19 0:00,0.01452,0.087,-0.0020167,0.0112,0.005,0.02567,0.01275,0.0112,0.0081,0.0355,0.0068,0.013,0.006,0.0136,0.0757,0.0197,0.0431
29/11/19 0:00,0.0105,0.082,0.01276156,0.0037,0.003,0.02109,0.01068,0.0037,0.008,-0.0037,0.0081,0.002,0.001,0.0039,0.0141,0.0258,0.0442
31/10/19 0:00,0.0148,0.055,0.0224,0.0054,0.002,0.00416,0.01261,0.0054,0.0067,0.0531,0.008,0.009,0.006,0.0059,0.048,0.0165,0.0374
30/9/19 0:00,-0.02821,0.067,0.0315219,-0.0123,0.004,0.00949,-0.00238,-0.0123,0.0072,0.0779,0.0067,0.001,0.0,0.0073,0.0252,-0.0023,0.0485
30/8/19 0:00,0.02018,0.021,-0.0008167,0.0442,-0.003,0.01997,0.00716,0.0442,0.0072,0.0227,0.0071,-0.013,-0.002,-0.0085,-0.0702,-0.0184,-0.0406
31/7/19 0:00,0.01364,0.074,-0.0181,0.0113,0.0075,-0.00829,0.02502,0.0113,0.007,0.0307,0.0072,0.023,0.008,0.0026,-0.0201,0.0164,0.0354
28/6/19 0:00,0.00028,0.088,0.00807148,0.011,0.00775,-0.0104,-0.01724,0.011,0.0073,0.0339,0.007,0.031,0.013,0.014,0.0582,0.0438,0.0798
31/5/19 0:00,0.00966,0.041,0.01745165,0.0124,0.00763,-0.02151,0.0118,0.0124,0.0083,-0.0647,0.0073,-0.041,-0.014,0.0047,-0.0467,-0.0452,-0.104
30/4/19 0:00,0.02884,0.111,0.00537717,-0.0005,0.00756,-0.01877,0.0191,-0.0005,0.0083,0.0771,0.0083,0.012,0.003,0.0088,0.0086,0.0291,0.0735
29/3/19 0:00,0.01387,0.09,0.01735186,0.0129,0.00753,0.01919,0.011,0.0129,0.0056,-0.0047,0.0056,0.037,0.016,0.0082,0.0059,0.007,0.0192
